;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Название;Вид;Способ;Состав;Тип;%;г;р;Масса;Вес ингр-тов;Траты всего;Потери, %;Маржа;Цена за 1 кг;ЧП;Ссылка интернет;Ссылка ПК;Наличие;Примечание;;
Грудинка свиная ГК;Цельное;ГК;Фосфат;Специи;0,20%;2,00 г;1,50 ₽;3500,00 г;7,00 г;5,24 ₽;;90%;2,84 ₽;1,35 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp6;Да;;;
Грудинка свиная ГК;Цельное;ГК;Соль пищевая;Специи;1,00%;10,00 г;0,39 ₽;3500,00 г;35,00 г;1,35 ₽;;90%;0,73 ₽;0,35 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp7;Да;;;
Грудинка свиная ГК;Цельное;ГК;Соль нитритная;Специи;1,00%;10,00 г;1,28 ₽;3500,00 г;35,00 г;4,48 ₽;;90%;2,43 ₽;1,15 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp8;Да;;;
Грудинка свиная ГК;Цельное;ГК;Сахар;Специи;0,20%;2,00 г;0,16 ₽;3500,00 г;7,00 г;0,57 ₽;;90%;0,31 ₽;0,15 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp9;Да;;;
Грудинка свиная ГК;Цельное;ГК;Аскорбиновая кислота;Специи;0,05%;0,50 г;0,85 ₽;3500,00 г;1,75 г;2,98 ₽;;90%;1,62 ₽;0,77 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp10;Да;;;
Грудинка свиная ГК;Цельное;ГК;Глютамат натрия;Специи;0,10%;1,00 г;0,56 ₽;3500,00 г;3,50 г;1,94 ₽;;90%;1,05 ₽;0,50 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp11;Да;;;
Скумбрия ХК;Рыба;ХК;Скумбрия;Рыба;100,00%;1000,00 г;374,99 ₽;3500,00 г;3500,00 г;1 312,46 ₽;15%;100%;882,32 ₽;441,16 ₽;https://www.youtube.com/watch?v=pcruCdwzRAw;D:\Video\Колбаса_рецепты\СКУМБРИЯ - холодное или горячее копчение.mp4;Нет;;;
Скумбрия ХК;Рыба;ХК;Вода;Добавки;100,00%;1000,00 г;1,00 ₽;3500,00 г;3500,00 г;3,50 ₽;;100%;2,00 ₽;1,00 ₽;https://www.youtube.com/watch?v=pcruCdwzRAw;D:\Video\Колбаса_рецепты\СКУМБРИЯ - холодное или горячее копчение.mp5;Да;;;
Скумбрия ХК;Рыба;ХК;Соль пищевая;Специи;6,00%;60,00 г;2,31 ₽;3500,00 г;210,00 г;8,09 ₽;;100%;4,62 ₽;2,31 ₽;https://www.youtube.com/watch?v=pcruCdwzRAw;D:\Video\Колбаса_рецепты\СКУМБРИЯ - холодное или горячее копчение.mp6;Да;;;
Карась ХК;Рыба;ХК;Карась;Рыба;100,00%;1000,00 г;250,00 ₽;3500,00 г;3500,00 г;875,00 ₽;15%;100%;588,24 ₽;294,12 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp4;Да;;;
Карась ХК;Рыба;ХК;Соль пищевая;Специи;5,00%;50,00 г;1,93 ₽;3500,00 г;175,00 г;6,74 ₽;;100%;3,85 ₽;1,93 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp5;Да;;;
Карась ХК;Рыба;ХК;Сахар;Специи;1,00%;10,00 г;0,81 ₽;3500,00 г;35,00 г;2,83 ₽;;100%;1,62 ₽;0,81 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp6;Да;;;
Карась ХК;Рыба;ХК;Перец чили молотый;Специи;0,10%;1,00 г;0,78 ₽;3500,00 г;3,50 г;2,72 ₽;;100%;1,55 ₽;0,78 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp7;Нет;;;
Карась ХК;Рыба;ХК;Паприка красная молотая;Специи;0,30%;3,00 г;2,35 ₽;3500,00 г;10,50 г;8,21 ₽;;100%;4,69 ₽;2,35 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp8;Нет;;;
Карась ХК;Рыба;ХК;Чеснок сушеный;Специи;0,20%;2,00 г;1,76 ₽;3500,00 г;7,00 г;6,15 ₽;;100%;3,51 ₽;1,76 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp9;Да;;;
